"indicateur","région","sexe","Unit","Date","Value"
"Admission au BEPC par région et par sexe (%)","Savanes","Total","%","2015","77.3"
"Admission au BEPC par région et par sexe (%)","Savanes","Total","%","2016","69.2"
"Admission au BEPC par région et par sexe (%)","Savanes","Total","%","2017","53.3"
"Admission au BEPC par région et par sexe (%)","Savanes","Total","%","2018","54.1"
"Admission au BEPC par région et par sexe (%)","Savanes","Total","%","2019","58.4"
"Admission au BEPC par région et par sexe (%)","Savanes","Total","%","2020","66.1"
"Admission au BEPC par région et par sexe (%)","Savanes","Total","%","2021","60.9"
"Admission au BEPC par région et par sexe (%)","Savanes","Total","%","2022","48.9"
"Admission au BEPC par région et par sexe (%)","Savanes","Masculin","%","2011","70.7"
"Admission au BEPC par région et par sexe (%)","Savanes","Masculin","%","2012","78.7"
"Admission au BEPC par région et par sexe (%)","Savanes","Masculin","%","2013","74.7"
"Admission au BEPC par région et par sexe (%)","Savanes","Masculin","%","2014","75.5"
"Admission au BEPC par région et par sexe (%)","Savanes","Masculin","%","2015","81.5"
"Admission au BEPC par région et par sexe (%)","Savanes","Masculin","%","2016","72.7"
"Admission au BEPC par région et par sexe (%)","Savanes","Masculin","%","2017","58.3"
"Admission au BEPC par région et par sexe (%)","Savanes","Masculin","%","2018","57.6"
"Admission au BEPC par région et par sexe (%)","Savanes","Masculin","%","2019","62.8"
"Admission au BEPC par région et par sexe (%)","Savanes","Masculin","%","2020","70.3"
"Admission au BEPC par région et par sexe (%)","Savanes","Masculin","%","2021","64.5"
"Admission au BEPC par région et par sexe (%)","Savanes","Masculin","%","2022","53.1"
"Admission au BEPC par région et par sexe (%)","Savanes","Féminin","%","2011","56.6"
"Admission au BEPC par région et par sexe (%)","Savanes","Féminin","%","2012","67.7"
"Admission au BEPC par région et par sexe (%)","Savanes","Féminin","%","2013","60.6"
"Admission au BEPC par région et par sexe (%)","Savanes","Féminin","%","2014","68.3"
"Admission au BEPC par région et par sexe (%)","Savanes","Féminin","%","2015","69.3"
"Admission au BEPC par région et par sexe (%)","Savanes","Féminin","%","2016","62.9"
"Admission au BEPC par région et par sexe (%)","Savanes","Féminin","%","2017","44.9"
"Admission au BEPC par région et par sexe (%)","Savanes","Féminin","%","2018","48.3"
"Admission au BEPC par région et par sexe (%)","Savanes","Féminin","%","2019","51.8"
"Admission au BEPC par région et par sexe (%)","Savanes","Féminin","%","2020","59.7"
"Admission au BEPC par région et par sexe (%)","Savanes","Féminin","%","2021","55.7"
"Admission au BEPC par région et par sexe (%)","Savanes","Féminin","%","2022","43.4"
